ticker,time,signal
SPY,0359pm,buy
QQQ,0359pm,buy
AAPL,0359pm,buy
ABNB,0359pm,buy
ADBE,0359pm,buy
AFRM,0359pm,buy
AMAT,0359pm,buy
AMD,0359pm,buy
AMZN,0359pm,buy
ANET,0359pm,buy
APP,0359pm,buy
ARM,0359pm,buy
ASML,0359pm,buy
ASTS,0359pm,buy
AVGO,0359pm,buy
BABA,0359pm,buy
BILI,0359pm,buy
BTDR,0359pm,buy
CAVA,0359pm,buy
CCJ,0359pm,buy
CCL,0359pm,buy
CELH,0359pm,buy
CIFR,0359pm,buy
CLSK,0359pm,buy
COIN,0359pm,buy
CORZ,0359pm,buy
CRM,0359pm,buy
CRWD,0359pm,buy
CVNA,0359pm,buy
DAL,0359pm,buy
DASH,0359pm,buy
DDOG,0359pm,buy
DELL,0359pm,buy
DKNG,0359pm,buy
ENPH,0359pm,buy
F,0359pm,buy
FCX,0359pm,buy
FSLR,0359pm,buy
FUTU,0359pm,buy
GME,0359pm,buy
HIMS,0359pm,buy
HOOD,0359pm,buy
HPE,0359pm,buy
HUT,0359pm,buy
INTC,0359pm,buy
IONQ,0359pm,buy
IREN,0359pm,buy
JOBY,0359pm,buy
KGC,0359pm,buy
KLAC,0359pm,buy
LI,0359pm,buy
LRCX,0359pm,buy
LUNR,0359pm,buy
LYFT,0359pm,buy
MARA,0359pm,buy
MDB,0359pm,buy
META,0359pm,buy
MRVL,0359pm,buy
MSFT,0359pm,buy
MSTR,0359pm,buy
MU,0359pm,buy
NCLH,0359pm,buy
NET,0359pm,buy
NFLX,0359pm,buy
NVDA,0359pm,buy
OKLO,0359pm,buy
ON,0359pm,buy
ORCL,0359pm,buy
PANW,0359pm,buy
PDD,0359pm,buy
PINS,0359pm,buy
PLTR,0359pm,buy
PYPL,0359pm,buy
QBTS,0359pm,buy
QCOM,0359pm,buy
QUBT,0359pm,buy
RBLX,0359pm,buy
RDDT,0359pm,buy
RDW,0359pm,buy
RGTI,0359pm,buy
RIOT,0359pm,buy
RIVN,0359pm,buy
RKLB,0359pm,buy
ROKU,0359pm,buy
SE,0359pm,buy
SHOP,0359pm,buy
SMCI,0359pm,buy
SNOW,0359pm,buy
SOFI,0359pm,buy
SPCX,0359pm,buy
SPOT,0359pm,buy
TEM,0359pm,buy
TOST,0359pm,buy
TSLA,0359pm,buy
TSM,0359pm,buy
UAL,0359pm,buy
UBER,0359pm,buy
UPST,0359pm,buy
VRT,0359pm,buy
WOLF,0359pm,buy
WULF,0359pm,buy
XPEV,0359pm,buy
XYZ,0359pm,buy
